id,name,vendor_sku,change_to
77365,Red Aerosol Can,41-0987,
77366,Red Aerosol Quart,41-0988,
77371,Red Anodized High Temperature Finish,41-1036,
79113,Red Baron Road Goggles,48-0222,
24353,Reorder Tags - Drag Specialties,99040425,
81983,REPLICA BIKE KIT 1957 PANHEAD,55-1520,
68136,Replica Black Waffle Grips without Plug Hole,28-0159,
89237,Replica Black Waffle Grips with Plug Hole,28-0110,
88278,Replica Cone Cover Nut Zinc,24-0662,
93028,Replica Eccentric Points Screw,37-9235,
72171,Replica Guide Signal Lamp Set Rear,33-1405,
72177,Replica Guide Signal Lamp Set Rear,33-1417,
91226,Replica Guide Signal Lamp Set Rear,33-1344,
62856,Replica Ratchet Drum Cover Alloy,17-0289,
89233,Replica Short Stock Grips,28-0102,
89232,Replica Short Stock Grips,28-0101,
89244,Replica Stock Left Side Grip,28-0131,
89414,Replica Stock Style Left Side Black Grip,28-2126,
44199,REPL RUBBER STRIPS FOR TWINBAR 3 SHORT/3 LONG,830-5057,
77592,Ribbed Panhead Cover Set Chrome,42-0639,
89611,Ride Control Side Plate Stud Kit,3054-16,
83645,Right Crank Case Bushing Screw,12-0250,
80279,Rocker Cover Set Chrome,49-2565,
96237,Rocker Feed Line Nipple Parkerized,9701-1,
92954,Rocker Friction tab Washer,37-8954,
73898,Rocker Plate Stud Bushings,3452-4,
63492,Rodan Kick Cover Plug,18-1646,
79872,"Rod Nut Kit, 1/2 inch x 20 TPI",49-0661,
70237,Round Chrome 12 Volt Dual Coil with Bracket,32-0126,
24357,"Round Pub Table - 30""",99050179,
56852,RYDER BALL CRAZY CLOWN FACE,26-7113,
56856,RYDER BALL DEVILISH BAD GIRL,26-7114,
56858,RYDER BALL EAGLE HEAD,26-7115,
56860,RYDER BALL FLAMES,26-7116,
56863,RYDER BALL IRON CROSS,26-7117,
56865,RYDER BALL PINK RIBBON,26-7118,
56867,RYDER BALL SPIDER WEB,26-7119,
56870,RYDER BALL THREE SKULLS,26-7120,
56811,RYDER BALL V-TWIN ENGINE,26-7121,
56874,RYDER BALL WICKED SKULL,26-7122,
92707,Safety Gap Plate Screw,37-1042,
57057,SANTORO TUMBLER/HANGER,750-03083,
85529,Seal Airbox Tube Base,15-1589,
90969,Sealed Connector Component 2 wire,32-9604,
85653,"SEAL WASHER, FIBRE",15-8444,
24359,Seat Display - 5-Seat,99041367,
63135,Shift Cam Thrust Washers,17-1595,
92315,Shift Gate Hex Screw Zinc Plated,37-0078,
14064,Shopping Bag - 2 ml - 100 Pack,99040932,
92723,Short Magnetic Docking Points Cover Set Chrome,37-1158,
92724,Short Magnetic Docking Points Cover Set Gloss Black,37-1159,
82706,Short Stud Bushing Set,8011-4T,
