normalized_part_number,bucket,member_count,distinct_real_canonical_ids,canonical_ids,skus
H070585N,multiple_real,2,2,111454|171406,06102304|VT-26-0962
7062,multiple_real,3,3,129579|105055|178622,WPS-811-07062|09320026|VT-54-0412
7072,multiple_real,2,2,129583|98914,WPS-811-07072|09320028
7073,multiple_real,3,3,129584|170936|166460,WPS-811-07073|VT-24-0522|VT-12-0527
77911,multiple_real,2,2,144013|176636,VT-12-7911|VT-42-1376
T101,multiple_real,2,2,126637|103583,WPS-26-44801|D101
2M6198,multiple_real,2,2,142435|132799,VT-11-0160|WPS-865-02013
210209,multiple_real,2,2,112703|172836,21060224|VT-32-0241
207770,multiple_real,2,2,92524|169093,DS199414|VT-17-7651
78611,multiple_real,2,2,144885|153527,VT-15-8611|VT-32-1773
C320436,multiple_real,2,2,90897|130008,05100182|WPS-820-0515
A6773,multiple_real,2,2,94937|166543,09250284|VT-12-0717
010127,multiple_real,2,2,91520|129970,09342556|WPS-820-0080
H0708051,multiple_real,2,2,119157|171480,06102196|VT-26-2259
296900,multiple_real,2,2,103005|169111,DS199424|VT-17-8238
217460,multiple_real,2,2,115320|142265,09251166|VT-10-5272
206812CWH,multiple_real,2,2,115207|155296,20401182|VT-33-2241
290304,multiple_real,2,2,115363|146818,DS199477|VT-20-0710
294150,multiple_real,2,2,115365|144171,DS199739|VT-13-9251
27162,multiple_real,2,2,129934|171172,WPS-82-7162|VT-24-7162
DP12G,multiple_real,3,2,94569|173682,21200061|WPS-850-08028|VT-32-9626
18754,multiple_real,2,2,115686|154124,10102480|VT-32-8754
010107,multiple_real,2,2,129967|128826,WPS-820-0001|WPS-70-11071
320464,multiple_real,2,2,130001|90899,WPS-820-0504|05100334
21555,multiple_real,2,2,130039|158983,WPS-820-1104|VT-38-1555
21561,multiple_real,2,2,130040|175959,WPS-820-1105|VT-38-1561
316172A,multiple_real,2,2,130046|149506,WPS-820-1123C|VT-25-1095
200412,multiple_real,2,2,118782|154819,20010101|VT-33-1300
126015,multiple_real,2,2,118432|154553,20100563|VT-33-0676
310086S,multiple_real,2,2,130057|149388,WPS-820-1151C|VT-25-0658
19131,multiple_real,2,2,141156|132251,WPS-865-01200|WPS-820-50540
W150562,multiple_real,2,2,103810|171942,12010844|VT-28-2261
20252B,multiple_real,2,2,130104|149547,WPS-820-1517B|VT-25-1293
110100,multiple_real,2,2,121217|127540,K110100|WPS-56-4256
160024,multiple_real,2,2,130114|169892,WPS-820-1901|VT-21-0903
120069,multiple_real,2,2,98287|98756,07060207|17416863
V30HTCBS,one_real_rest_null,2,1,107750,06303421|WPS-206-40115
202056,multiple_real,2,2,108539|142737,07110093|VT-11-0987
71554,multiple_real,2,2,115646|171731,02100377|VT-27-1563
A2620783,multiple_real,2,2,92416|166966,DS194207|VT-13-0111
P80110,multiple_real,2,2,120415|158321,DS096647|VT-37-8517
316275,multiple_real,2,2,109433|144329,09320149|VT-15-0361
110293K,multiple_real,2,2,130179|118079,WPS-820-2667|11070035
2020323R,multiple_real,2,2,120979|126349,09260194|WPS-191-17024
190401B,multiple_real,2,2,130189|153202,WPS-820-2697|VT-32-1195
120185,multiple_real,2,2,130217|118286,WPS-820-50512|10130036
148151,multiple_real,2,2,130258|146178,WPS-820-50951|VT-18-1221
105125,multiple_real,2,2,123798|136392,04040564|WPS-812-52311
314011,multiple_real,2,2,123824|94672,04140744|09500885
78444,multiple_real,2,2,168343|173953,VT-15-8444|VT-33-1565
112355,multiple_real,2,2,124230|156769,DS289141|VT-35-0421
20763,multiple_real,2,2,156915|131051,VT-35-0763|WPS-865-01063
3200351,multiple_real,2,2,142230|125341,VT-10-3513|09220123
160497,multiple_real,2,2,125175|156623,10500360|VT-35-0086
112084,multiple_real,2,2,125301|156648,112084|VT-35-0152
5500502,multiple_real,2,2,125327|153502,21010346|VT-32-1732
7082,one_real_rest_null,2,1,169420,WPS-874-1231|VT-18-1213
117249,multiple_real,2,2,125363|149175,10060320|VT-24-7249
76238,multiple_real,2,2,116070|168207,DS189966|VT-15-1540
78700,multiple_real,2,2,170468|144909,VT-23-1666|VT-15-8700
