normalized_part_number,vendor_combo,member_count,skus
20041,PU+VTWIN,2,VT-51-0274|04110172
510298,PU+VTWIN+WPS,3,WPS-191-27030|VT-11-1232|09262969
64393,VTWIN,2,VT-52-0802|VT-30-4393
HDEG109,VTWIN,2,VT-51-2036|VT-51-2035
HDEG110,VTWIN,2,VT-51-2040|VT-51-2039
61031C,VTWIN,2,VT-52-0097|VT-52-0087
64396,VTWIN,2,VT-52-0215|VT-30-4396
204168,PU+VTWIN,2,VT-11-6013|09260783
2041961,PU+VTWIN,2,VT-11-6107|09260787
204256,PU+VTWIN,2,VT-11-6015|09260786
9300165,PU+VTWIN,2,VT-11-7716|09280124
62152,PU+VTWIN,2,16210687|VT-21-4755
40051,PU,2,20101348|10102955
NSXHCB36A,PU+WPS,2,WPS-850-08766|21201161
4124007C,PU+VTWIN,2,VT-54-2000|DS222000
102027,PU+WPS,2,WPS-820-60404|21020227
76710,PU+VTWIN,2,08030401|VT-45-0332
23201,PU+WPS,2,WPS-830-1144|24010435
822,PU+VTWIN,2,VT-37-8220|12042730
13222,VTWIN,2,VT-37-8707|VT-12-1306
78430,VTWIN,2,VT-8015-4T|VT-15-8430
6009,VTWIN,2,VT-43-0373|VT-12-0337
76741,VTWIN,2,VT-47-2204|VT-11-1132
70281,VTWIN,2,VT-32-1923|VT-17-0903
77965,VTWIN,2,VT-15-7965|VT-44-0623
78265,VTWIN,2,VT-15-8265|VT-21-0753
78266,VTWIN,2,VT-15-8266|VT-21-1342
78481,VTWIN,2,VT-15-8481|VT-28-0873
78482,VTWIN,2,VT-15-8482|VT-47-0369
78563,VTWIN,2,VT-15-8563|VT-22-0131
3300378,PU+VTWIN,2,VT-10-0529|09290053
212351,PU+VTWIN,2,VT-10-2351|09250294
212353,PU+VTWIN,2,VT-10-2353|09250295
212430,PU+VTWIN,2,VT-10-2430|DS199298
3200402,PU+VTWIN,2,VT-10-3503|09220119
77352,VTWIN,2,VT-15-7352|VT-44-0924
500773,PU+WPS,2,WPS-812-02139|16100682
39909,VTWIN,2,VT-10-1771|VT-10-0188
JGI6381599,PU+VTWIN,2,VT-11-0584|DS173248
347,PU+VTWIN,2,VT-25-3470|17420104
300203,PU+VTWIN,2,VT-19-0769|12102803
288015,PU+VTWIN,2,VT-19-8015|DS199175
A2209799,PU+VTWIN,2,VT-11-0856|09130016
94645,VTWIN,2,VT-20-4645|VT-24-1912
41112,PU+VTWIN,2,VT-2017-8|10103347
18011,VTWIN,2,VT-9520-4|VT-9520-4T
3326,PU+VTWIN,2,VT-44-3326|DS3326
8601,PU+VTWIN,2,VT-17-2148|11030065
2020090,PU+VTWIN,2,VT-11-6091|DS198806
2020092,PU+VTWIN,2,VT-11-6092|DS198807
062013,PU+WPS,2,06550026|WPS-820-70205
FROM#963713,VTWIN,2,VT-12-0004|VT-12-0005
73825,VTWIN,2,VT-12-0156|VT-12-1769
A8906,VTWIN,2,VT-12-0349|VT-12-0399
