"product_id","sku","brand","source_vendor","name","image_url","http_status","content_type"
"7788","DS380061","DRAG SPECIALTIES","PU","Quickbob Rear Fender","http://asset.lemansnet.com/z/LzgvMC8xLzgwMTQwQUNFLTA3OTgtNENFMC1BQTZBLTE4NUUyN0YwQTVDMQ==","200","application/x-zip"
"4042","21200530","Namz","PU","Radio Connector 35 Position - Female - Harley Davidson","http://asset.lemansnet.com/z/L0MvMy9FL0MzRUZGN0I3LThBMDctNDZFOC1COTk4LUI1OUVCMUUyODE2RQ==","200","application/x-zip"
"23164","21130676","DRAG SPECIALTIES","PU","Battery Terminals - 5/16"" - 25PK","http://asset.lemansnet.com/z/L0IvQi8wL0JCMEE3RkFCLTJCRjUtNEEyNy1CNzIxLTMyOTlGMEYwOTFGNg==","200","application/x-zip"
"8850","19010008","PRO-ONE PERF.MFG.","PU","Mirror - Weekend Warrior - Side View - Cut-Out - Oval - Chrome - Left","http://asset.lemansnet.com/z/LzUvMS9FLzUxRTIzNEUyLTYwQzktNDVGQS04ODBBLTkwQ0E5RTk1NEU5RSwvOS9ELzEvOUQxN0Y2M0EtMzBBNS00OTI2LTgxODktMjlCNThDQzAzODhC","200","application/x-zip"
"27618","21201356","Custom Dynamics","PU","Wiring Harness - Single Lamp","http://asset.lemansnet.com/z/LzEvRi8xLzFGMTM5NzAzLURDREItNDhCMi1CRUI3LTI3MThFNkIzOEY1QQ==","200","application/x-zip"
"34740","DS310034","Progressive Suspension","PU","412 Series Shock - 11.5"" - Standard - Black - H-D","http://asset.lemansnet.com/z/LzEvOS9GLzE5RkY4MEZGLTA5REQtNDJEMS05NjgyLTIzMjEwRjdBODNBNA==","200","application/x-zip"
"34628","13100481","Progressive Suspension","PU","412 Series Shock - 11.5"" - Heavy Duty - Black - FL","http://asset.lemansnet.com/z/LzEvOS9GLzE5RkY4MEZGLTA5REQtNDJEMS05NjgyLTIzMjEwRjdBODNBNA==","200","application/x-zip"
"13615","10220084","DRAG SPECIALTIES","PU","Idle Air Control Module","http://asset.lemansnet.com/z/LzcvRC84LzdEODZBMzkzLTM2NzUtNEFEMi1CQkNCLTAwMzUxM0FENEMzMg==","200","application/x-zip"
"10401","13101947","LEGEND SUSPENSION","PU","REVO ARC Piggyback Shocks - 13"" - Heavy Duty - Clear - '84-'00 FXR","http://asset.lemansnet.com/z/L0YvRC8xL0ZEMUFGRDM2LUJCNzAtNDc4Mi05MUJBLUE1MzkxRDkzMzZCNCwvMi8yLzkvMjI5NkY2NDgtRDlFNC00NDExLThCQzEtOTIzQkFGMjgxNERC","200","application/x-zip"
"6689","12231465","DID","PU","530 VX3 - Drive Chain - 104 Links - Natural","http://asset.lemansnet.com/z/LzQvOS81LzQ5NUNCNUFELUY5RjItNDAxMi1CQThFLTM1NThBMjA5NEM2Mg==","200","application/x-zip"
