id,name,vendor_sku,change_to
522896,H-2 Vented Cap Set,53-0933,Gas cap
72581,H-4 Bulb Only,33-2168,Lighting bulb
38954,HAND DEFLECTOR CLEAR,562-30433,grips
38952,HAND DEFLECTOR CLEAR,562-30430,grips
24343,Hang Tags/Tagger Locks,99040922,
76120,Hap Peanut Tank High 1.6 G Bayonett Bung,38-0696,Gas tank
76218,Hap Peanut Tank High 1.6 G Screw Bung,38-0950,Gas tank
76217,Hap Peanut Tank Lower 1.8 G Bayonett Bung,38-0949,Gas tank
76216,Hap Peanut Tank Lower 1.8 G Screw Bung,38-0948,Gas tank
76103,Hap Peanut Tank Mid 1.7 G Bayonett Bung,38-0672,Gas tank
76222,Hap Peanut Tank Mid 1.7 G Screw Bung,38-0968,Gas tank
82816,Hardware Dress Up Kit Cadmium,8319 CAD,
87089,Headbolt Chrome,2055-1,
83031,Headbolt Cover Kit Chrome Acorn Type,9110-9,
61277,Head Breather Stud Zinc,12-1763,
75466,Head Screw,37-4050,
87281,Head Stud Set Parkerized,2183-16,
57250,HEATHSHIELD BLACK SPORTSTER 14-22,82-96423,
57082,HEAVEY HITTERS 3.0 BAG GAURDS 25-26 SOFTAIL,750-03142,
82142,Helicpoter Mechanic Toy,68-0052,
82102,Henderson Greeting Card,68-0022,
82606,Hex Head Pulley Bolts Zinc Plated 7/16 inch-14 x 1-5/8 inch,73-0403,
77038,Hex Reducing Nipple Fitting,40-0609,
499812,Hex Stem Nut 1 inch-24 Black,24-3094,
499798,Hex Stem Nut 1 inch-24 Chrome,24-2776,
70309,Hi-Low Beam Switch Relay,32-0448,
90169,Hitachi Starter Field Coil Set,32-0308,
62252,Hose Clamp,16-0085,
62251,Hose Clamp,16-0084,
74101,Hose Clamp Assortment Set,35-0472,
74652,Hose Clamp Assortment Set,35-6240,
85733,Hose Clamp Crimping Plier,16-0050,
77203,Hose Forming Coil Set,40-1506,
77204,Hose Forming Coil Set,40-1507,
91845,Idle Mixture Screw,35-1258,
59141,Idler Stud Spacer Set,10-0832,
506530,Ignition Breaker Kit,32-2961,
79380,inchHow to Restore Your Military Harley-Davidson 1932-1952,48-1393,
74207,inchL inch Series Idle Mixture Screw,35-0721,carb
74175,inchL inch Series Idle Mixture Screw,35-0660,Carb
74325,inchL inch Series Throttle Arm Kit,35-0998,carb
81473,Indian 16 inch x 3 inch Chrome Rim,52-0786,Remove
75315,Indian Kick Start Black Pedal Bolt,37-0993,Remove
75089,Indian Kick Start Pedal Bolts,37-0057,Remove
513022,Indian Lug Nut Zinc Plated,37-1148,Remove
513021,Indian Step Studs Adapter Parkerized,37-1147,Remove
94856,Indian Switch Cover Chrome,49-0175,Remove
95236,Indian Throttle Chrome Sleeve Tube Nut,49-3005,Remove
80343,Indian Throttle Driver,49-3008,Remove
60030,"INTAKE GUIDE STANDARD, CAST",11-0966,
86338,Internal Spline Washer,17-1305,
68175,ISO Mount Stud with Spring 1/4 inch x 20,28-0418,
82042,ITEM INCLUDED IN SERVICE,60-4444,Remove
82041,ITEM INCLUDED IN SERVICE,60-3333,Remove
