"product_id","sku","brand","source_vendor","name","image_url_status","image_url_content_type","good_catalog_media_remaining","classification"
"8236","06100790","DRAG SPECIALTIES","PU","Wide Blade Lever Set - Chrome","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13281","09345915","COMETIC","PU","Cylinder Head Gasket - 3.937"" - M8","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"14163","06500328","DRAG SPECIALTIES","PU","Black Vinyl Throttle Cable - 30""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"21929","18000652","BASSANI XHAUST","PU","Radial Sweepers Exhaust System - Chrome - '07-'13 XL","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"10830","06521006","MAGNUM SHIELDING","PU","High-Efficiency Braided Sterling Chromite II® Clutch Cable - 62-11/16""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"17760","06340190","Joker Machine","PU","Custom Rubber Radial Grip Trim Cap - Raw","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"20368","11200413","DRAG SPECIALTIES","PU","Primary Sprocket Kit - M8","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"25709","09330107","Alloy Art","PU","Motor Mount - Black - FLT","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"532","09350201","COMETIC","PU","Shifter Shaft Seal - '80-'84 Shovelhead - 5 Pack","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"2597","11200269","DRAG SPECIALTIES","PU","Sprocket Shaft Extension - 4-Speed","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13197","09341205","COMETIC","PU","Primary Gasket - '06-'17 Dyna and '07-'17 Softail","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28239","09350231","COMETIC","PU","Clutch Inspection Cover O-Ring - M8/XL","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"717","12020070","DRAG SPECIALTIES","PU","Lower Belt Guard - '00-'05 FXST, '00-'06 FLST - Chrome","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"2581","12042749","DRAG SPECIALTIES","PU","Brake Line - Front (Upper) - Stainless Steel","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13498","11310426","DRAG SPECIALTIES","PU","Organic Plates","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13613","11310425","DRAG SPECIALTIES","PU","Organic Plates","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"28955","15010774","DRAG SPECIALTIES","PU","Round Tapered Sissy Bar - Chrome - 11""H x 11""W","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"2175","04040687","CUSTOM CYCLE ENGINEERING","PU","FORK TUBE 47MM HC 21 3/16","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"7590","19144011","DRAG SPECIALTIES","PU","Cut-Down Front Brake Master Cylinder - 11/16""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"13733","17412561","DRAG SPECIALTIES","PU","Brake Line - Front - Black - +10"" - FXD '00-'05","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"27059","04160011","Race Tech","PU","Complete Front End Suspension Kit - 0.95 kg/mm Spring","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
"5653","06523345","MAGNUM SHIELDING","PU","Redesigned Black Pearl™ Clutch Cable - 78-11/16""","resolved","application/x-zip","0","PLACEHOLDER_NO_IMAGE"
